ID,EventGroup,Name,Name_,UnlockLV,Days,InGame,Pros,EnterType,Des,Des_,Tags,WeightOffset,RaceSpecial,OptionDes,OptionDes_,OptionScript1,Args1,Weight1,Group1,Jump1,OptionScript2,Args2,Weight2,Group2,Jump2,OptionScript3,Args3,Weight3,Group3,Jump3,PilotBanList
int,int,string,void,int,int,bool,int[],int,string,void,int[],int,int,string,void,string,int[],int,int,int[],string,int[],int,int,int[],string,int[],int,int,int[],int[]
100,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,EventDes/100,,,,,[开挂]<b>获取作弊权限</b>,,OC_Jump,,,,5000,,,,,,,,,,,
100,100,EventName/100,商店,0,0,FALSE,;7;;77;;;,,EventDes/100,远程商店服务，任何星系都可以远程送达。,,,,EvenOptionDes/StartDealBounty,[进行交易]（<b>消耗</b>本次支援）,OC2_Shop_Bounty,,,,,,,,,,,,,,,
5000,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,作弊 >,,,,,修改星币，血量，度假天数,,OC_Jump,,,,5100,,,,,,,,,,,
5100,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,作弊 > 修改星币，血量，度假天数\n------------------------------\n按住快捷键再选择选项可快速操作：\n按住W增加，按住S键减少\n按住Shift键以10倍量改变,,,,,修改星币,,OC2_MultiUtil,;0;;;,,,5250,,,,,,,,,,,
5100,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,修改血量,,OC2_MultiUtil,;1;;;,,,5250,,,,,,,,,,,
5100,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,修改血上限,,OC2_MultiUtil,;2;;;,,,5250,,,,,,,,,,,
5100,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,修改度假天数,,OC2_MultiUtil,;3;;;,,,5250,,,,,,,,,,,
5100,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,返回,,OC_Jump,,,,5000,,,,,,,,,,,
5000,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,作弊 >,,,,,修改燃料，护盾，换位次数,,OC_Jump,,,,5200,,,,,,,,,,,
5200,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,作弊 > 修改燃料，护盾，换位次数\n------------------------------\n按住快捷键再选择选项可快速操作：\n按住W增加，按住S键减少\n按住Shift键以10倍量改变,,,,,修改燃料,,OC2_MultiUtil,;4;;;,,,5250,,,,,,,,,,,
5200,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,修改燃料上限,,OC2_MultiUtil,;5;;;,,,5250,,,,,,,,,,,
5200,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,修改护盾,,OC2_MultiUtil,;6;;;,,,5250,,,,,,,,,,,
5200,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,修改换位次数,,OC2_MultiUtil,;7;;;,,,5250,,,,,,,,,,,
5200,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,返回,,OC_Jump,,,,5000,,,,,,,,,,,
5250,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,{0},,,,,[0],,OC2_MultiUtil2,;1;;;,,,5250,,,,,,,,,,,
5250,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_MultiUtil2,;-1;;;,,,5250,,,,,,,,,,,
5250,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_MultiUtil2,;10;;;,,,5250,,,,,,,,,,,
5250,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_MultiUtil2,;-10;;;,,,5250,,,,,,,,,,,
5250,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,,,,,,[0],,OC2_PageTurn,;1;;;,,,-1,,,,,,,,,,,
5000,100,EventName/100,作弊,0,0,FALSE,;7;;77;;;,,作弊 >,,,,,杂项<color=#777777>（能量原料，升级改造，复制移除，飞船负载，宇宙商店，设定悬赏）</color>,,OC_Jump,,,,5300,,,,,,,,,,,
