TutorialMod/Name/UnitB_1;"Translated Unit"
@/Name/UnitB_2;"Translated Unit+"
@/Name/UnitC_1;"Ability DIY"
@/Name/UnitC_2;"Ability DIY+"
@/Name/UnitD_1;"Animated Unit"
@/Name/UnitD_2;"Animated Unit+"
@/Text/UnitB;"My Ability"
@/Text/UnitC;"New Ability"
@/Text/UnitD;"Animation Change"
@/Des/UnitB;"*Tripower*: Gain {0} *Power*"
@/Des/UnitC_1;"At the start of the battle, *Destroy* self. *Death rattle*: Equip <UNIT>14002|1</UNIT> to *adjacent* empty grids."
@/Des/UnitC_2;"At the start of the battle, *Destroy* self. *Death rattle*: Equip <UNIT>@.unitB|2</UNIT> to empty grids in the *same lane*."
@/Des/UnitD_1;"On load, play a different looping animation."
@/Des/UnitD_2;"On load, play the animation once, then reset."
@/Name/Vulcan;"Chain Vulcan"
@/Des/Vulcan;"At the start of the turn, deal {0} damage {1} times and deal +{1} times more in consequent turns."
@/Name/TopRain;"Top Rain"
@/Effect/TopRain;"At the start of battle, fill your ship with <UNIT>21858|1</UNIT>."
@/Des/TopRain;"Spinning Tops Rain from the sky! No one know why!"
@/Keyword/DeathRattle;"*DeathRattle*;*Death rattle*;*death rattle*"
@/KeywordDes/DeathRattle;"Triggers when destroyed."
@/Name/CoinGain;"The More, The Better"
@/Des/CoinGain;"After battle, gain {0} star coins."
@/Title/Pip;"Tester"
@/Name/Pip;"Pip"
@/Des/Pip;"Mod tester."
@/Settings/LabelTooltips;"You may add <color=#9BF37B>rich text</color>!"
@/Settings/Label;"<color=#9BF37B>Label</color> text"
@/Name/LockerShip;"Example"
@/Name/Tiny;"Pocketship(Player)"
@/Des/Tiny;"Weak ship with only 1 cannon. "
